Generation F-Min F-Moy F-Max
195 60.4375 88.520625 122.1875
196 60.4375 88.948375 125.75
197 60.8125 89.400375 124.1875
198 61.8125 89.832375 127.125
199 61.3125 90.236625 124.75
200 61.6875 90.615125 127.6875
201 61.8125 91.035875 126.9375
202 61.9375 91.413875 128.1875
203 61.9375 91.80737500000001 128.4375
204 61.9375 92.18187499999999 128.9375
205 61.9375 92.585875 129.0625
206 61.9375 92.96437499999999 129.875
207 61.9375 93.40700000000001 131.0
208 61.9375 93.83175 130.4375
209 62.6875 94.23825 131.625
210 62.6875 94.686 130.6875
211 62.6875 95.07675 132.625
212 62.6875 95.49525 132.3125
213 63.1875 95.90799999999999 132.375
214 63.3125 96.320875 133.375
215 63.4375 96.73512500000001 132.75
216 63.6875 97.147125 135.0625
217 63.6875 97.56937500000001 133.0625
218 63.8125 97.95725000000002 135.8125
219 63.8125 98.33224999999999 136.0
220 63.9375 98.71824999999998 135.9375
221 63.9375 99.115 136.125
222 64.0625 99.50775 136.9375
223 64.0625 99.90174999999999 136.9375
224 64.5625 100.287 137.125
225 64.6875 100.71375 137.1875
226 65.6875 101.12125 137.375
227 66.8125 101.50274999999999 138.0
228 66.8125 101.88875 138.875
229 67.0625 102.28675000000001 139.625
230 67.6875 102.655 140.25
231 69.1875 103.062 139.75
232 69.3125 103.45474999999999 140.4375
233 69.3125 103.81975 141.6875
234 69.3125 104.23375 141.75
235 69.4375 104.62424999999999 142.8125
236 69.4375 104.986125 144.125
237 70.0625 105.368875 143.875
238 70.0625 105.77812499999999 143.6875
239 71.1875 106.182875 144.5625
240 71.1875 106.60137499999999 144.9375
241 71.1875 106.99137499999999 144.5625
242 72.4375 107.388125 145.75
243 73.5625 107.772625 146.25
244 74.0 108.166125 145.75
245 74.25 108.554125 147.0
246 75.0 108.96237500000001 147.375
247 75.0 109.35662500000001 148.625
248 76.5 109.73962499999999 148.4375
249 76.5 110.117625 148.75
250 76.5 110.506875 148.5625
251 76.5 110.907625 149.375
252 77.5 111.334375 148.625
253 77.5 111.720125 150.8125
254 77.625 112.123625 151.125
255 78.625 112.539125 152.0625
256 78.6875 112.958875 153.0
257 79.8125 113.342625 153.3125
258 80.0625 113.705375 153.375
259 80.3125 114.107875 154.125
260 80.8125 114.49112500000001 155.625
261 80.8125 114.865125 154.75
262 80.875 115.23975 157.1875
263 81.875 115.631 155.5
264 82.0625 116.01525000000001 157.5625
265 82.0625 116.40625 157.5
266 82.6875 116.80275 159.5625
267 82.75 117.21675 160.4375
268 82.75 117.6305 159.9375
269 82.75 118.01525000000001 160.6875
270 82.875 118.38499999999999 159.75
271 84.375 118.82724999999999 158.3125
272 84.375 119.20625 160.125
273 84.625 119.56575000000001 159.0
274 84.75 119.95175 161.4375
275 85.375 120.37275 159.25
276 85.375 120.75775 161.4375
277 85.4375 121.13725 159.375
278 85.4375 121.51175 161.5625
279 86.9375 121.90950000000001 160.6875
280 87.1875 122.27375 163.5
281 87.4375 122.66825 162.5
282 87.6875 123.04599999999999 164.625
283 87.8125 123.43575 164.125
284 87.8125 123.81649999999999 165.6875
285 87.8125 124.19024999999999 164.5
286 87.8125 124.55324999999999 166.0625
287 87.9375 124.94825 164.9375
288 88.6875 125.31575000000001 166.8125
289 88.6875 125.69999999999999 164.9375
290 89.9375 126.0895 166.8125
291 89.9375 126.44475 166.3125
292 90.0625 126.83862500000001 168.3125
293 90.5625 127.22737500000001 166.9375
294 90.5625 127.578375 169.0
295 91.0625 127.909375 167.4375
296 91.0625 128.258625 169.625
297 91.0625 128.628625 167.9375
298 91.0625 129.00037500000002 169.375
299 91.0625 129.38962499999997 169.0
300 91.1875 129.74562500000002 169.9375
301 91.1875 130.138875 169.25
302 91.1875 130.50637500000002 170.1875
303 91.4375 130.861625 169.75
304 91.8125 131.241875 171.25
305 91.8125 131.607125 172.3125
306 91.8125 131.96625 171.8125
307 91.9375 132.3195 173.5
308 91.9375 132.656 172.4375
309 91.9375 132.99175 174.5625
310 91.9375 133.354875 173.5625
311 92.4375 133.688625 175.5
312 92.4375 134.046625 174.0
313 92.4375 134.422125 176.75
314 92.4375 134.76712500000002 174.375
315 92.4375 135.106875 178.6875
316 93.0625 135.434875 176.6875
317 93.1875 135.807375 179.75
318 93.4375 136.176625 176.9375
319 93.6875 136.530375 179.875
320 94.1875 136.887125 177.3125
321 94.3125 137.238625 180.5
322 94.8125 137.590125 177.9375
323 96.4375 137.929875 181.0
324 96.9375 138.306625 178.1875
325 97.0625 138.692375 181.0
326 97.8125 139.058625 178.8125
327 98.3125 139.413625 181.0625
328 98.3125 139.758625 178.5
329 98.3125 140.17337500000002 182.4375
330 98.5625 140.520375 180.5625
331 98.8125 140.86112500000002 182.75
332 99.6875 141.25437499999998 181.8125
333 100.1875 141.586375 183.8125
334 101.1875 141.942125 182.3125
335 102.1875 142.293375 184.9375
336 102.1875 142.641125 185.3125
337 102.1875 143.011125 186.625
338 102.9375 143.386125 186.5
339 103.1875 143.723875 186.9375
340 103.3125 144.083875 187.125
341 103.3125 144.39687500000002 189.3125
342 103.4375 144.753375 188.1875
343 103.4375 145.105875 190.1875
344 103.5625 145.46687500000002 188.625
345 105.1875 145.78787499999999 190.4375
346 105.1875 146.14712500000002 190.3125
347 105.6875 146.520375 190.625
348 106.0625 146.891875 190.625
349 106.0625 147.234625 190.1875
350 106.3125 147.546 192.125
351 106.3125 147.90224999999998 191.1875
352 106.3125 148.227 192.9375
353 106.4375 148.56275 192.0
354 106.4375 148.95024999999998 193.375
355 106.4375 149.2615 193.0
356 106.6875 149.61325 194.375
357 106.9375 149.988 194.125
358 106.4375 150.32524999999998 194.625
359 106.4375 150.67575 193.3125
360 106.9375 151.029 194.6875
361 107.9375 151.38299999999998 194.9375
362 108.1875 151.71474999999998 194.4375
363 108.3125 152.05349999999999 195.125
364 108.3125 152.427 194.8125
365 108.5625 152.77375 195.25
366 108.5625 153.13525 194.875
367 109.6875 153.46724999999998 195.5
368 110.6875 153.79125 195.375
369 110.5625 154.14600000000002 195.8125
370 110.5625 154.4855 195.5
371 112.1875 154.78475 196.8125
372 113.1875 155.13074999999998 196.0625
