Generation M1F M2F M3F M5F
318 30 35 35 219
319 30 35 35 220
320 30 35 35 221
321 30 35 35 222
322 30 35 35 223
323 30 35 35 224
324 30 36 35 224
325 30 36 35 225
326 30 36 35 226
327 30 36 35 227
328 30 36 35 228
329 30 36 35 229
330 30 36 35 230
331 30 36 35 231
332 30 36 35 232
333 30 36 35 233
334 30 36 35 234
335 30 36 35 235
336 30 36 35 236
337 30 36 35 237
338 30 36 35 238
339 30 36 36 238
340 30 36 37 238
341 30 36 37 239
342 31 36 37 239
343 31 36 37 240
344 31 36 37 241
345 31 36 37 242
346 31 36 37 243
347 31 36 37 244
348 31 36 37 245
349 31 36 37 246
350 31 37 37 246
351 31 38 37 246
352 31 38 37 247
353 31 38 37 248
354 31 38 37 249
355 31 39 37 249
356 31 39 37 250
357 31 39 37 251
358 31 39 38 251
359 32 39 38 251
360 32 39 38 252
361 32 39 38 253
362 32 39 38 254
363 33 39 38 254
364 33 39 38 255
365 33 39 38 256
366 33 39 38 257
367 33 39 38 258
368 33 39 38 259
369 33 39 38 260
370 33 39 38 261
371 33 39 38 262
372 33 39 38 263
373 33 39 38 264
374 33 39 38 265
375 33 39 38 266
376 33 39 38 267
377 33 39 38 268
378 33 39 38 269
379 33 39 38 270
380 33 39 38 271
381 33 39 38 272
382 34 39 38 272
383 34 39 38 273
384 34 39 38 274
385 34 39 38 275
386 34 39 38 276
387 34 39 39 276
388 34 39 39 277
389 34 39 39 278
390 34 40 39 278
391 34 40 39 279
392 34 40 39 280
393 34 40 39 281
394 34 40 39 282
395 34 40 40 282
396 34 40 40 283
397 34 40 40 284
398 34 40 40 285
399 34 40 40 286
400 34 40 41 286
401 34 40 41 287
402 34 40 41 288
403 35 40 41 288
404 36 40 41 288
405 36 40 41 289
406 36 40 41 290
407 36 40 41 291
408 36 40 41 292
409 36 40 41 293
410 37 40 41 293
411 37 40 41 294
412 37 41 41 294
413 37 41 41 295
414 37 42 41 295
415 38 42 41 295
416 38 42 41 296
417 38 42 41 297
418 38 42 42 297
419 38 43 42 297
420 38 43 42 298
421 38 43 42 299
422 38 43 42 300
423 38 43 42 301
424 38 43 43 301
425 38 43 43 302
426 39 43 43 302
427 39 43 43 303
428 39 43 43 304
429 39 43 43 305
430 39 43 43 306
431 39 44 43 306
432 39 44 44 306
433 39 44 44 307
434 40 44 44 307
435 40 44 44 308
436 40 44 44 309
437 40 44 45 309
438 40 44 45 310
439 40 44 45 311
440 40 44 45 312
441 40 44 46 312
442 40 44 46 313
443 41 44 46 313
444 41 44 47 313
445 41 44 47 314
446 41 44 47 315
447 41 44 47 316
448 41 45 47 316
449 41 46 47 316
450 41 46 47 317
451 42 46 47 317
452 42 46 47 318
453 42 47 47 318
454 42 47 48 318
455 42 47 48 319
456 42 47 48 320
457 42 47 48 321
458 42 47 48 322
459 42 47 48 323
460 42 47 48 324
461 42 47 49 324
462 43 47 49 324
463 43 47 49 325
464 43 47 49 326
465 44 47 49 326
466 44 47 49 327
467 44 47 49 328
468 44 47 49 329
469 44 47 49 330
470 44 47 49 331
471 44 47 49 332
472 44 47 50 332
473 44 47 50 333
474 44 47 50 334
475 44 47 50 335
476 44 47 50 336
477 44 47 50 337
478 44 47 51 337
479 44 47 51 338
480 44 47 51 339
481 45 47 51 339
482 45 47 51 340
483 46 47 51 340
484 46 47 51 341
485 46 47 51 342
486 46 47 51 343
487 46 47 51 344
488 46 47 51 345
489 46 47 51 346
490 46 47 51 347
491 46 47 51 348
492 46 48 51 348
493 46 48 51 349
494 46 48 52 349
495 46 48 52 350
496 46 48 52 351
497 46 48 52 352
498 46 48 52 353
499 46 48 53 353
