Generation F(M1F) F(M2F) F(M3F) F(M5F)
0 0.0 0.0 0.0 0.0 
1 0.9187500000000001 0.7145833333333335 0.7145833333333335 2.5520833333333335 
2 1.8562500000000002 1.44375 1.44375 5.15625 
3 2.5875000000000004 2.0125 2.0125 7.187500000000001 
4 3.3375000000000004 2.595833333333333 2.595833333333333 9.270833333333334 
5 4.275 3.325 3.325 11.875 
6 5.25 4.083333333333334 4.083333333333334 14.583333333333334 
7 6.16875 4.797916666666667 4.797916666666667 17.135416666666668 
8 7.21875 5.614583333333334 5.614583333333334 20.052083333333336 
9 8.2125 6.3875 6.3875 22.8125 
10 9.1875 7.145833333333333 7.145833333333333 25.520833333333332 
11 9.975000000000001 7.758333333333334 7.758333333333334 27.708333333333336 
12 10.912500000000001 8.4875 8.4875 30.312500000000004 
13 11.681249999999999 9.085416666666667 9.085416666666667 32.447916666666664 
14 12.3375 9.595833333333333 9.595833333333333 34.270833333333336 
15 13.18125 10.252083333333333 10.252083333333333 36.614583333333336 
16 13.799999999999999 10.733333333333333 10.733333333333333 38.33333333333333 
17 14.325000000000001 11.141666666666667 11.141666666666667 39.79166666666667 
18 14.71875 11.447916666666668 11.447916666666668 40.88541666666667 
19 15.262500000000001 11.870833333333335 11.870833333333335 42.395833333333336 
20 15.637500000000001 12.1625 12.1625 43.4375 
21 16.1625 12.570833333333333 12.570833333333333 44.895833333333336 
22 16.40625 12.760416666666668 12.760416666666668 45.57291666666667 
23 16.55625 12.877083333333333 12.877083333333333 45.989583333333336 
24 16.63125 12.935416666666667 12.935416666666667 46.197916666666664 
25 16.7625 13.0375 13.0375 46.5625 
26 16.893749999999997 13.139583333333333 13.139583333333333 46.92708333333333 
27 17.081249999999997 13.285416666666665 13.285416666666665 47.447916666666664 
28 17.2125 13.3875 13.3875 47.8125 
29 17.34375 13.489583333333332 13.489583333333332 48.17708333333333 
30 17.418750000000003 13.547916666666667 13.547916666666667 48.38541666666667 
31 17.625 13.708333333333332 13.708333333333332 48.95833333333333 
32 17.625 13.708333333333332 13.708333333333332 48.95833333333333 
33 17.625 13.708333333333332 13.708333333333332 48.95833333333333 
34 17.71875 13.78125 13.78125 49.21875 
35 17.71875 13.78125 13.78125 49.21875 
36 17.75625 13.810416666666667 13.810416666666667 49.322916666666664 
37 17.75625 13.810416666666667 13.810416666666667 49.322916666666664 
38 17.75625 13.810416666666667 13.810416666666667 49.322916666666664 
39 17.75625 13.810416666666667 13.810416666666667 49.322916666666664 
40 17.75625 13.810416666666667 13.810416666666667 49.322916666666664 
41 17.75625 13.810416666666667 13.810416666666667 49.322916666666664 
42 17.8125 13.854166666666668 13.854166666666668 49.47916666666667 
43 17.85 13.883333333333333 13.883333333333333 49.583333333333336 
44 17.85 13.883333333333333 13.883333333333333 49.583333333333336 
45 17.85 13.883333333333333 13.883333333333333 49.583333333333336 
46 17.90625 13.927083333333332 13.927083333333332 49.73958333333333 
47 17.90625 13.927083333333332 13.927083333333332 49.73958333333333 
48 17.90625 13.927083333333332 13.927083333333332 49.73958333333333 
49 17.981250000000003 13.985416666666667 13.985416666666667 49.94791666666667 
